title	time	author	digest	matched
What happens if the SEC's Coinbase lawsuit lands at the Supreme Court?	2023-06-06 14:20:00	Nate DiCamillo	The case could redefine cryptocurrencies in the US—or the SEC's regulatory power	Yes
Ford is recalling 125,000 hybrid SUVs and pickup trucks after finding a risk of engines catching fire	2023-06-06 14:54:00	Diego Lasarte	The move comes a week after the automaker recalled 142,000 Lincoln SUVs for similar issues	
Subway plans to open 4,000 new locations in China	2023-06-06 12:34:00	Diego Lasarte	It's the largest franchise deal in the sandwich chain's history	Yes
Professional soccer players are using AI to filter out racist content hurled at them	2023-06-06 13:09:00	Cassie Werber	International stars are turning to robots to protect them from abuse	
The SEC is finally making good on its threats to rein in crypto	2023-06-06 10:32:00	Scott Nover	The SEC sued Coinbase one day after it sued Binance	
The PGA Tour-LIV Golf merger is anything but a win for competition	2023-06-06 12:24:00	Scott Nover	"But it's a win for the PGA and for the ""sportswashing"" investments of Saudi Arabia"	
Algorithmic hiring: We’re only human	2023-05-26 05:00:00	Quartz Staff	What is it like going through the job search process without ever interacting with a real person?	
Public tech bank: A newer deal	2023-05-23 05:00:00	Quartz Staff	In the wake of SVB's collapse, this episode imagines another option for the US government in financing tech innovation.	Yes
Online voting: Yes or no	2023-05-19 05:00:00	Quartz Staff	Estonia pioneered online voting in its elections almost two decades ago. Could the US replicate its success?	Yes
"Zeynep Ton, the academic who popularized the ""good jobs"" strategy, explains how to execute on it"	2023-06-06 10:43:00	Anna Oakes	How great companies bring dignity, pay, and meaning to work	
Best Deals of the Day: Samsung, Target, Forever 21, Margaritaville, Robot Vacuum & More	2023-06-06 11:00:00	The Inventory Staff	Kinja Deals	
Step up Your Summer Outfits With 20% Off Oliver Cabell	2023-05-17 09:34:00	Erin O'Brien	The temperatures are heating up. Now's the time to get your summer wardrobe ready with new sneakers & shoes.	
Ford is recalling 125,000 hybrid SUVs and pickup trucks after finding a risk of engines catching fire	2023-06-06 14:54:00	Diego Lasarte	The move comes a week after the automaker recalled 142,000 Lincoln SUVs for similar issues	
The SEC is finally making good on its threats to rein in crypto	2023-06-06 10:32:00	Scott Nover	The SEC sued Coinbase one day after it sued Binance	
India's worst train crash in 20 years shows how its railways mis-spent safety funds	2023-06-06 08:35:00	Niharika Sharma	The accident has left at least 288 people dead and 1,000 injured	
What happens if the SEC's Coinbase lawsuit lands at the Supreme Court?	2023-06-06 14:20:00	Nate DiCamillo	The case could redefine cryptocurrencies in the US—or the SEC's regulatory power	Yes
Subway plans to open 4,000 new locations in China	2023-06-06 12:34:00	Diego Lasarte	It's the largest franchise deal in the sandwich chain's history	Yes
The PGA Tour-LIV Golf merger is anything but a win for competition	2023-06-06 12:24:00	Scott Nover	"But it's a win for the PGA and for the ""sportswashing"" investments of Saudi Arabia"	
Netflix shareholders rejected a proposed executive pay package	2023-06-02 06:21:00	Sofia Lotto Persio	The rare rebuke, delivered at a Netflix shareholder meeting, was seen as a show of solidarity with the Hollywood writers' strike	
Vogue’s Anna Wintour is planning a Met Gala-style event in London to support budget-depleted arts sector	2023-06-01 16:15:00	Sofia Lotto Persio	UK government cuts to the arts in the British capital inspired the famed editor to take action.	
Adidas is entering the final chapter of its Yeezy collaboration	2023-06-01 07:53:00	Ananya Bhattacharya	Seven months after the fallout with Ye, Adidas has started selling leftover Yeezy merchandise	
India's response to wrestlers protesting sexual misconduct was forceful removal and detention	2023-05-31 12:29:00	Ananya Bhattacharya	The wrestlers are now threatening to start a hunger strike	
The countries with the most and least expensive work visas	2023-05-22 15:39:00	Clarisa Diaz	Higher costs let expats stay longer, but the application process can be complicated either way	
The meat industry blocked the IPCC’s attempt to recommend a plant-based diet	2023-03-24 14:16:00	Aurora Almendral	A leaked draft revealed how the meat industry is obstructing efforts to curb climate change	
The biggest warnings about AI from the people who design it	2023-05-02 05:40:00	Michelle Cheng	From Elon Musk to Sam Altman, CEO of ChatGPT maker OpenAI, these industry players have concerns	
The Economist has named the countries plagued the most by crony capitalism	2023-05-09 07:40:00	Mimansa Verma	Globally, more than half of crony capitalists' wealth has come from the US, China, India and Russia.	Yes
Disney canceled plans for a billion-dollar project in Florida following feud with governor Ron DeSantis	2023-05-18 17:13:00	Diego Lasarte	The new office complex would have created more than 2,000 jobs in the state	
Quartz's Best Companies for Remote Workers 2022	2022-09-07 12:30:00	Heather Landy	Which companies are best for remote workers? Our ranking spotlights 83 employers who made the cut.	
Poor countries got screwed on covid vaccines. They’re making sure it won’t happen again	2022-04-19 04:15:35	Annalisa Merelli		
Can a deepfake company be ethical?	2022-02-15 07:00:42	Scott Nover		
Online voting: Yes or no	2023-05-19 05:00:00	Quartz Staff	Estonia pioneered online voting in its elections almost two decades ago. Could the US replicate its success?	Yes
Radon: Testing your home for the earth’s evil vapors	2023-04-26 15:45:00	Aurora Almendral	Situation breakdown	
